merchant_id,merchant_group_id,merchant_category_id,subsector_id,numerical_1,numerical_2,category_1,most_recent_sales_range,most_recent_purchases_range,avg_sales_lag3,avg_purchases_lag3,active_months_lag3,avg_sales_lag6,avg_purchases_lag6,active_months_lag6,avg_sales_lag12,avg_purchases_lag12,active_months_lag12,category_4,city_id,state_id,category_2
M_ID_395ae81bdf,60308,427,27,-0.05747065,-0.05747065,N,E,E,15.77,35.0,3,24.74,53.5,6,24.74,53.5,6,Y,158,15,1.0
M_ID_c188eb564b,35398,63,27,-0.05747065,-0.05747065,N,E,E,20.43,26.55555556,3,64.86,73.66666667,6,63.87,83.16666667,12,Y,212,4,4.0
M_ID_4c15635704,49965,68,27,-0.04755575,-0.04755575,N,E,E,6.36,1.04166667,3,15.06,1.9375,6,34.08,7.55208333,12,Y,69,9,1.0
M_ID_77f9dc73e7,56634,437,15,-0.05747065,-0.05747065,N,E,E,6.07,14.0,3,10.1,24.66666667,6,22.32,55.63636364,11,Y,143,5,5.0
M_ID_558c6212f0,45895,45,18,-0.05747065,-0.05747065,N,E,E,1.32,1.33333333,3,1.14,1.5,4,1.14,1.5,4,Y,158,15,1.0
M_ID_5b479f1852,20249,222,21,-0.05747065,-0.05747065,N,E,E,1.29,1.08333333,3,1.01,1.0,6,1.03,0.98958333,12,Y,87,11,3.0
M_ID_6d8c023dad,1951,80,37,-0.05747065,-0.05747065,N,E,E,0.48,0.88888889,3,0.65,0.77777778,6,0.53,0.83333333,12,Y,246,1,3.0
M_ID_48e937f5e2,68187,683,34,-0.05747065,-0.05747065,N,E,E,11.29,15.16666667,3,13.97,18.29166667,6,11.31,15.45,10,Y,158,15,1.0
M_ID_35dfcb247e,19700,130,41,-0.05747065,-0.05747065,N,E,E,1.65,2.16666667,3,2.84,3.16666667,6,3.34,3.85416667,12,Y,137,19,3.0
M_ID_19e4d7188f,1143,307,19,-0.05747065,-0.05747065,N,E,E,10.45,4.66666667,3,17.01,6.925,6,21.01,8.25,12,N,-1,13,4.0
M_ID_3f43b6806e,20165,779,27,-0.05747065,-0.05747065,N,E,E,0.76,1.0,3,1.2,1.125,6,1.43,1.47916667,12,N,22,16,1.0
M_ID_f9a712623c,38146,683,34,-0.05747065,-0.05747065,N,E,E,0.71,0.66666667,3,0.5,0.4,6,1.35,0.925,12,N,337,20,5.0
M_ID_237f74439b,67759,206,1,-0.05747065,-0.05747065,N,E,E,3.67,1.6,3,4.25,1.1,6,6.14,1.36666667,12,N,51,16,1.0
M_ID_34a29ceb8c,24521,683,34,-0.05747065,-0.05747065,N,E,E,1.52,1.33333333,3,1.56,1.08333333,6,10.81,23.4375,12,N,-1,-1,
M_ID_619ab2ad71,67431,278,37,-0.05747065,-0.05747065,N,E,E,4.19,5.02777778,3,5.55,6.125,6,6.68,7.16666667,9,Y,30,17,3.0
M_ID_3407b03937,85791,111,36,-0.05747065,-0.05747065,N,E,E,34.55,15.77777778,3,31.47,18.59259259,6,26.77,14.72222222,10,N,337,20,5.0
M_ID_5254edb19b,35981,705,33,-0.05747065,-0.05747065,N,E,E,1.08,1.02222222,3,4.51,3.35,6,7.62,5.3,12,N,325,9,1.0
M_ID_b69287b2ea,11292,80,37,-0.05747065,-0.05747065,N,E,E,1.44,1.08641975,3,1.64,1.11728395,6,1.51,1.05246914,12,N,274,9,1.0
M_ID_542e3b3cd6,41395,544,29,-0.05747065,-0.05747065,N,E,E,1.32,2.06666667,3,1.95,2.83333333,6,1.75,2.6,12,N,-1,20,5.0
M_ID_7421310162,3590,184,40,-0.05747065,-0.05747065,N,E,E,1.81,1.0,3,2.44,0.94444444,6,1.45,0.69444444,12,N,-1,13,4.0
M_ID_4a3272f390,77562,683,34,-0.05747065,-0.05747065,N,E,E,0.76,0.87804878,3,0.62,0.72357724,6,0.74,0.86788618,12,Y,-1,14,4.0
M_ID_d388f1d455,13558,68,27,-0.05747065,-0.05747065,N,E,E,0.42,0.5,3,0.37,0.5,6,0.51,0.53030303,11,Y,69,9,1.0
M_ID_9fee3d6d9a,5151,19,36,-0.05747065,-0.05747065,N,E,E,2.98,1.62222222,3,3.29,1.64444444,6,3.21,1.54722222,12,N,117,9,1.0
M_ID_e67a35555e,87071,384,7,-0.05747065,-0.05747065,Y,E,E,1.05,2.33333333,3,1.99,4.16666667,6,4.15,9.16666667,12,Y,-1,-1,
M_ID_2ef177b0f5,18640,605,2,-0.05747065,-0.05747065,N,E,E,1.9,1.8,3,1.93,1.63333333,6,1.79,1.60833333,12,Y,69,9,1.0
M_ID_b82963b58c,9199,683,34,-0.05747065,-0.05747065,N,E,E,0.84,0.8,3,0.77,0.76666667,6,1.45,1.31111111,12,Y,76,2,3.0
M_ID_435c39e0de,1740,607,29,-0.05747065,-0.05747065,N,E,E,2.66,2.55952381,3,4.1,3.32738095,6,3.49,3.22619048,12,Y,88,16,1.0
M_ID_0b8ed0c2b0,35,554,25,-0.05747065,-0.05747065,Y,E,E,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,Y,-1,-1,
M_ID_0b8ed0c2b0,35,554,25,0.91418997,0.91418997,Y,C,C,1.21,1.08450704,3,1.16,0.97998435,6,1.39,1.5995423,12,Y,-1,-1,
M_ID_92fdc3d79d,78896,706,26,-0.05747065,-0.05747065,Y,E,E,0.75,0.88288288,3,0.81,0.73423423,6,0.58,0.44144144,12,Y,-1,-1,
M_ID_3a8157fff4,4355,367,16,-0.05747065,-0.05747065,N,E,E,1.23,1.06896552,3,1.21,1.05172414,6,1.17,1.01724138,12,N,226,16,1.0
M_ID_cb8413b1ba,4156,278,37,-0.05747065,-0.05747065,N,E,E,1.04,1.02702703,3,1.2,1.06756757,6,1.56,1.25675676,12,Y,277,13,4.0
M_ID_47fea045dd,28292,80,37,-0.05747065,-0.05747065,N,E,E,0.91,0.95833333,3,0.68,0.8125,6,1.13,1.28125,12,Y,69,9,1.0
M_ID_1d5cbbaefe,863,225,9,-0.05747065,-0.05747065,N,E,E,2.77,1.23809524,3,7.9,1.5,6,5.05,1.07142857,12,N,261,9,1.0
M_ID_84b26bca89,11868,80,37,-0.05747065,-0.05747065,N,E,E,1.38,1.52380952,3,2.17,2.27777778,6,2.84,2.90873016,12,N,-1,16,1.0
M_ID_bb02eee063,523,278,37,-0.05747065,-0.05747065,N,E,E,0.92,1.33333333,3,3.54,3.83333333,6,7.11,8.08333333,12,N,-1,9,1.0
M_ID_186f521d04,17253,683,34,-0.05747065,-0.05747065,N,E,E,1.39,1.26950355,3,1.87,1.5035461,6,1.85,1.51950355,12,N,124,24,2.0
M_ID_5754441d4d,37636,111,36,-0.05747065,-0.05747065,N,E,E,0.78,1.13333333,3,0.79,1.33333333,6,0.84,1.56666667,12,N,63,9,1.0
M_ID_914174c38f,495,315,4,-0.05747065,-0.05747065,N,E,E,1.85,2.53333333,3,1.6,1.96666667,6,1.14,1.58333333,12,N,274,9,1.0
M_ID_8507f15212,16541,683,34,-0.05747065,-0.05747065,N,E,E,0.87,0.96969697,3,0.94,1.07575758,6,1.05,1.12878788,12,N,337,20,5.0
M_ID_8951e22556,35,434,32,-0.05747065,-0.05747065,Y,E,E,2.08,7.0,3,3.21,7.66666667,6,6.62,12.08333333,12,Y,-1,-1,
M_ID_8951e22556,35,434,32,1.85610589,1.85610589,Y,B,C,1.13,1.06610965,3,1.12,1.05354735,6,1.16,1.05854207,12,Y,-1,-1,
M_ID_9d868e8bb6,23581,111,36,-0.05747065,-0.05747065,N,E,E,4.99,3.84848485,3,49.65,7.37878788,6,26.52,4.22727273,12,Y,1,12,1.0
M_ID_fa5384fe85,18142,80,37,-0.05747065,-0.05747065,N,E,E,1.02,1.02487562,3,1.07,0.99502488,6,1.85,1.710199,12,N,-1,9,1.0
M_ID_a1e1680748,7602,705,33,-0.05747065,-0.05747065,N,E,E,1.02,1.08163265,3,1.26,1.19387755,6,1.45,1.32142857,12,Y,88,16,1.0
M_ID_f69c957782,1476,80,37,-0.01781104,-0.04755575,N,E,E,0.91,0.96732026,3,9.81,10.23529412,6,17.79,18.39542484,12,Y,4,10,2.0
M_ID_8ae342fedf,47627,705,33,-0.04755575,-0.04755575,N,E,E,4.14,4.48571429,3,5.13,5.50952381,6,6.87,7.40904762,12,Y,87,11,3.0
M_ID_24332042b8,35,60,13,-0.03764084,-0.03764084,N,E,E,1.14,1.0,3,3.6,2.58730159,6,7.08,5.01587302,12,N,156,7,3.0
M_ID_aa146e22d3,59595,68,27,-0.05747065,-0.05747065,N,E,E,2.99,1.86666667,3,3.26,1.96666667,6,3.1,2.01666667,12,N,91,12,1.0
M_ID_a721a75121,966,19,36,-0.05747065,-0.05747065,N,E,E,0.83,0.76190476,3,7.26,3.74603175,6,4.99,3.14285714,12,N,44,5,5.0
M_ID_73dea47014,2066,560,34,-0.05747065,-0.05747065,N,E,E,1.5,1.63333333,3,2.53,2.39166667,6,4.11,3.4875,12,N,261,9,1.0
M_ID_da87e44fea,33284,884,27,-0.05747065,-0.05747065,N,E,E,0.9,0.95833333,3,1.09,1.29166667,6,1.81,1.95833333,12,N,219,15,1.0
M_ID_799f76cb10,17117,33,29,-0.05747065,-0.05747065,N,E,E,1.36,1.22807018,3,1.56,1.22807018,6,1.21,0.95175439,12,Y,-1,24,2.0
M_ID_1c46424f62,31156,705,33,-0.04755575,-0.04755575,N,E,E,2.14,2.35802469,3,2.48,2.47530864,6,2.61,2.53395062,12,N,-1,14,4.0
M_ID_f8fd9473e8,12792,367,16,-0.05747065,-0.05747065,N,E,E,1.47,1.08080808,3,1.6,1.01010101,6,1.89,1.01010101,12,Y,277,13,4.0
M_ID_4ce7f2a964,12486,840,20,-0.05747065,-0.05747065,N,E,E,54.98,93.66666667,3,99.69,138.33333333,6,109.21,138.72222222,12,Y,158,15,1.0
M_ID_2c898a70f0,2118,884,27,-0.05747065,-0.05747065,N,E,E,1.2,1.03703704,3,1.24,1.16666667,6,1.97,1.78703704,12,Y,143,5,5.0
M_ID_b104a1a3d0,3932,278,37,-0.05747065,-0.05747065,N,E,E,5.39,2.76190476,3,3.68,2.44047619,6,6.4,4.30952381,12,Y,158,15,1.0
M_ID_bb2bb25e48,23950,427,27,-0.05747065,-0.05747065,N,E,E,1.27,1.0,3,1.59,1.22727273,6,1.97,1.3030303,12,Y,212,4,4.0
M_ID_946fed86ba,82172,307,19,-0.05747065,-0.05747065,N,E,E,13.22,11.87179487,3,16.62,17.23076923,6,14.92,16.63461538,12,N,-1,9,1.0
M_ID_d8d7379178,33665,839,29,-0.05747065,-0.05747065,N,E,E,0.66,0.7037037,3,30.91,35.77777778,6,46.58,54.81481481,12,N,-1,9,1.0
M_ID_b98df265e7,3984,367,16,-0.05747065,-0.05747065,N,E,E,1.41,1.23611111,3,1.38,1.15625,6,1.42,1.08333333,12,N,47,16,1.0
M_ID_c330c2d157,31330,80,37,-0.05747065,-0.05747065,N,E,E,0.81,0.82113821,3,0.64,0.73577236,6,1.31,1.17682927,12,N,-1,9,1.0
M_ID_42d5cfe374,43214,307,19,-0.05747065,-0.05747065,N,E,E,3.22,1.55555556,3,3.99,1.84722222,6,6.45,2.984375,12,N,-1,17,3.0
M_ID_c7efb4f23d,24443,298,10,-0.05747065,-0.05747065,N,E,E,0.74,1.0,3,0.65,0.85714286,6,0.69,0.89285714,12,N,323,2,3.0
M_ID_c4d5d5419a,20138,367,16,-0.05747065,-0.05747065,N,E,E,0.74,0.83333333,3,2.64,2.88461538,6,5.81,7.12179487,12,Y,88,16,1.0
M_ID_d6baefbcc0,35,417,27,-0.03764084,-0.03764084,N,E,E,0.98,1.34567901,3,0.98,1.34567901,6,0.84,1.31944444,12,N,22,16,1.0
M_ID_27e227a03c,28094,34,38,-0.05747065,-0.05747065,N,E,E,0.66,1.0,3,1.18,1.25,6,0.97,1.05555556,9,N,-1,17,3.0
M_ID_edbf67aee8,34496,683,34,-0.05747065,-0.05747065,N,E,D,1.43,1.49109415,3,1.44,1.52035623,6,1.38,1.4184594,11,Y,158,15,1.0
M_ID_b470f9b437,14940,80,37,-0.05747065,-0.05747065,N,E,E,1.0,1.05333333,3,0.89,1.05666667,6,1.1,1.2475,8,Y,17,22,4.0
M_ID_28e1c86e79,40589,195,34,-0.05747065,-0.05747065,N,E,E,1.28,1.03508772,3,1.08,0.99122807,6,1.1,0.98684211,8,N,-1,17,3.0
M_ID_e1664640f9,19187,417,27,-0.05747065,-0.05747065,N,E,E,0.93,1.0,3,2.63,2.32407407,6,3.97,3.13425926,12,Y,88,16,1.0
M_ID_6b3886d4f4,44406,842,37,-0.05747065,-0.05747065,N,E,E,1.99,1.49122807,3,3.17,1.88596491,6,4.56,3.37719298,12,N,-1,15,1.0
M_ID_6e6596a788,29444,63,27,-0.05747065,-0.05747065,N,E,E,0.66,1.0,3,0.89,1.20833333,6,0.74,1.11458333,12,N,189,9,1.0
M_ID_bf4ee18347,10733,623,4,-0.05747065,-0.05747065,N,E,E,0.65,0.5,3,0.86,0.47619048,6,1.01,0.69047619,12,Y,200,18,2.0
M_ID_047a1b0acc,35,751,38,-0.03764084,-0.03764084,N,E,E,1.26,0.89583333,3,1.09,0.80208333,6,1.08,0.796875,12,N,198,9,1.0
M_ID_c5a4046c6b,13562,506,30,-0.04755575,-0.05747065,N,E,E,4.74,4.46153846,3,8.77,8.65384615,6,9.35,9.32051282,12,Y,277,13,4.0
M_ID_ab23117c25,51562,2,20,-0.05747065,-0.05747065,Y,E,E,1.06,0.87878788,3,2.07,1.5,6,2.85,1.96969697,12,Y,-1,-1,
M_ID_7afecc5dff,35,71,21,-0.02772594,-0.02772594,N,E,E,1.13,1.08,3,1.56,1.1,6,2.25,1.31533333,12,N,295,9,1.0
M_ID_c49b18e366,18976,683,34,-0.05747065,-0.05747065,N,E,E,0.94,0.82608696,3,1.05,0.84782609,6,1.15,0.91666667,12,Y,69,9,1.0
M_ID_2073163cca,16283,434,32,-0.04755575,-0.04755575,N,E,E,3.97,3.0,3,6.3,5.16666667,6,7.29,5.7952381,12,N,44,5,5.0
M_ID_da0c6d46f9,4631,222,21,-0.05747065,-0.05747065,N,E,E,1.05,0.77777778,3,1.09,0.9,6,1.64,1.23333333,12,N,-1,2,3.0
M_ID_da54f5c7b4,335,367,16,-0.05747065,-0.05747065,N,E,E,1.13,1.16666667,3,1.14,1.1780303,6,1.24,1.26136364,12,N,-1,-1,
M_ID_0cb238b914,67323,360,34,-0.05747065,-0.05747065,N,E,E,1.31,1.10416667,3,1.25,1.00347222,6,1.36,1.05381944,12,Y,17,22,4.0
M_ID_8ed0324f7b,52251,607,29,-0.05747065,-0.05747065,N,E,E,1.23,1.12643678,3,1.64,1.27586207,6,1.78,1.36494253,12,Y,88,16,1.0
M_ID_8e3b0dee49,70458,834,27,-0.05747065,-0.05747065,N,E,E,1.11,1.11904762,3,1.37,1.21428571,6,1.66,1.1547619,12,Y,143,5,5.0
M_ID_db4081fa18,19614,210,35,-0.05747065,-0.05747065,Y,E,E,0.41,0.57142857,3,2.41,0.83333333,6,1.5,0.69047619,12,Y,-1,-1,
M_ID_5fd3d32e97,26569,111,36,-0.05747065,-0.05747065,N,E,E,1.0,1.24242424,3,0.98,1.12121212,6,1.18,1.33333333,12,Y,69,9,1.0
M_ID_842ac25d67,55247,369,27,-0.05747065,-0.05747065,N,E,E,0.38,0.45454545,3,0.28,0.37878788,6,0.22,0.32575758,12,Y,4,10,2.0
M_ID_2ad0059337,35,78,23,-0.01781104,-0.01781104,N,E,E,0.87,1.2962963,3,1.36,1.51481481,6,1.28,1.46296296,12,N,22,16,1.0
M_ID_4e957276f2,82208,367,16,-0.05747065,-0.05747065,N,E,E,0.92,0.97826087,3,1.08,1.12681159,6,1.63,1.67210145,12,N,-1,-1,
M_ID_072fad4bc3,35,154,25,-0.03764084,-0.03764084,N,E,E,0.93,0.88172043,3,2.34,1.30107527,6,2.32,1.19354839,12,N,-1,2,3.0
M_ID_9478836c4f,8582,307,19,-0.05747065,-0.05747065,N,E,E,2.05,2.16161616,3,2.29,2.29545455,4,2.29,2.29545455,4,N,-1,7,3.0
M_ID_ef043aeed9,19547,705,33,-0.05747065,-0.05747065,N,E,E,3.08,3.3125,3,3.79,3.90625,6,3.7,3.70138889,9,Y,277,13,4.0
M_ID_d1f1ac6891,46305,307,19,-0.05747065,-0.05747065,N,E,E,1.38,1.36781609,3,1.5,1.48275862,6,2.52,3.16954023,12,N,339,9,1.0
M_ID_c6807c4f72,55664,278,37,-0.05747065,-0.05747065,N,E,E,2.05,1.83333333,3,5.05,4.53787879,6,9.17,8.59848485,12,Y,76,2,3.0
M_ID_c9921c19ab,29045,363,18,-0.05747065,-0.05747065,N,E,E,3.22,1.25,3,3.24,1.29166667,6,2.5,1.16666667,12,N,-1,-1,
M_ID_191a17f5c3,85153,683,34,-0.05747065,-0.05747065,Y,E,E,3.57,8.88888889,3,2.4,5.83333333,6,1.57,3.78787879,11,Y,-1,-1,
M_ID_b01f22974f,60934,834,27,-0.05747065,-0.05747065,N,E,E,2.24,1.97777778,3,2.76,2.14444444,6,3.63,2.77777778,12,Y,69,9,1.0
M_ID_1559ed4603,24948,2,20,-0.05747065,-0.05747065,N,E,E,1.79,2.16666667,3,2.06,2.39583333,6,2.92,3.34375,12,Y,4,10,2.0
M_ID_ce2dc6c13e,7683,454,39,-0.05747065,-0.05747065,N,E,E,0.99,0.91549296,3,0.77,0.71126761,6,0.59,0.55868545,12,Y,69,9,1.0
M_ID_8de18984d8,35,526,25,-0.03764084,-0.03764084,N,E,E,1.43,1.35416667,3,1.66,1.52083333,6,1.8,1.65104167,12,N,44,5,5.0
M_ID_b506693955,35,342,20,-0.05747065,-0.05747065,N,E,E,1.0,1.10852713,3,1.32,1.53875969,6,1.24,1.36627907,12,N,22,16,1.0
M_ID_ae64a7332f,34932,434,32,-0.03764084,-0.04755575,N,E,E,3.44,1.66666667,3,3.41,2.0,6,3.28,1.79444444,12,N,-1,17,3.0
M_ID_1d25643515,21176,111,36,-0.03764084,-0.05747065,N,E,E,1.69,1.32510288,3,1.68,1.35390947,6,1.64,1.25749559,11,N,289,5,5.0
M_ID_9e59b3cd31,1736,518,27,-0.05747065,-0.05747065,N,E,E,2.44,1.44444444,3,3.36,1.64285714,6,3.21,1.70238095,12,Y,161,3,3.0
M_ID_2beba6309a,2924,705,33,-0.05747065,-0.05747065,N,E,E,0.97,0.83137255,3,1.09,0.95098039,6,1.36,0.95,12,N,-1,4,4.0
M_ID_32d73b8ecf,35,273,20,-0.05747065,-0.05747065,N,E,E,1.1,1.28571429,3,1.16,1.64285714,6,2.17,2.97321429,12,Y,69,9,1.0
M_ID_32d73b8ecf,35,273,20,11.52313763,11.26535012,N,A,A,1.15,1.1423298,3,1.27,1.23868258,6,1.41,1.33698846,12,Y,69,9,1.0
M_ID_1986af158c,35,471,32,-0.05747065,-0.05747065,N,E,E,1.14,0.90666667,3,1.34,0.81333333,6,1.13,0.76333333,12,Y,1,12,1.0
M_ID_71cd6c2d74,53557,369,27,-0.05747065,-0.05747065,Y,E,E,1.17,1.26666667,3,1.17,1.36666667,6,1.06,1.25,12,Y,-1,-1,
M_ID_8eb5a1fc2e,36211,637,37,-0.05747065,-0.05747065,N,E,E,2.16,1.15555556,3,2.76,1.17777778,6,3.32,1.46111111,12,Y,158,15,1.0
