authorized_flag,card_id,city_id,category_1,installments,category_3,merchant_category_id,merchant_id,month_lag,purchase_amount,purchase_date,category_2,state_id,subsector_id
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,0,-0.7427755,2018-02-21 06:54:15,1.0,9,34
Y,C_ID_4dcdeb27e4,69,N,0,A,419,M_ID_7064a8aa68,-1,-0.56613886,2018-01-09 11:35:09,1.0,9,1
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-6,-0.71943933,2017-08-23 20:08:35,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-11,-0.73616384,2017-03-22 09:49:05,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,683,M_ID_7c5e93af2f,-9,-0.73939454,2017-05-25 15:20:35,1.0,9,34
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-8,-0.7397702,2017-06-01 15:49:30,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-8,-0.73158075,2017-06-01 06:48:29,1.0,9,34
Y,C_ID_4dcdeb27e4,147,N,0,A,367,M_ID_35f8c76987,-4,-0.68991224,2017-10-12 23:47:28,3.0,19,16
Y,C_ID_4dcdeb27e4,19,N,0,A,195,M_ID_5b0efe8106,-12,-0.72887598,2017-02-17 19:28:51,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-11,-0.73789189,2017-03-03 18:41:24,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,307,M_ID_002b3f848c,-8,-0.59664268,2017-06-02 14:09:04,1.0,9,19
N,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-10,-0.70441282,2017-04-05 20:12:22,1.0,9,33
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-6,-0.74164852,2017-08-31 13:05:49,1.0,9,34
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-6,-0.7395448,2017-08-24 13:55:42,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,454,M_ID_26e3278f88,-9,-0.73789189,2017-05-07 20:19:53,1.0,9,39
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-12,-0.67444996,2017-02-21 20:06:04,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,80,M_ID_98b342c0e3,0,-0.73488659,2018-02-27 06:50:52,1.0,9,37
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-8,-0.73617887,2017-06-07 15:27:36,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,557,M_ID_762ea418c0,-8,-0.5133357,2017-06-18 13:31:10,1.0,9,29
Y,C_ID_4dcdeb27e4,19,N,0,A,195,M_ID_5b0efe8106,-1,-0.73112996,2018-01-06 19:57:16,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-8,-0.61810054,2017-06-07 19:59:49,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-4,-0.73488659,2017-10-26 17:04:56,1.0,9,7
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,0,-0.74239984,2018-02-27 13:41:16,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-10,-0.74441339,2017-04-27 06:43:13,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,884,M_ID_91f2b0adac,-7,-0.47658085,2017-07-07 12:13:39,1.0,9,27
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-12,-0.72741841,2017-02-08 15:21:53,1.0,9,33
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-7,-0.7397702,2017-07-27 15:25:02,1.0,9,34
Y,C_ID_4dcdeb27e4,69,N,0,A,879,M_ID_00a6ca8a8a,-3,-0.74089719,2017-11-30 17:02:57,1.0,9,29
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-10,-0.74089719,2017-04-27 17:34:21,1.0,9,7
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-11,-0.74346672,2017-03-20 15:49:21,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-11,-0.74014587,2017-03-06 09:47:47,1.0,9,34
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-4,-0.7395448,2017-10-24 17:57:00,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,683,M_ID_7c5e93af2f,-9,-0.73413526,2017-05-25 15:15:00,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-6,-0.73789189,2017-08-10 06:54:13,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-7,-0.72233945,2017-07-12 12:47:34,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-5,-0.73488659,2017-09-14 18:03:26,1.0,9,7
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_f854d0dcd6,-2,-0.73517209,2017-12-21 14:09:39,1.0,9,33
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-4,-0.73714056,2017-10-26 17:08:40,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-8,-0.74315117,2017-06-01 15:32:57,1.0,9,7
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-6,-0.74390249,2017-08-14 06:53:52,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-4,-0.7427755,2017-10-27 00:00:00,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,367,M_ID_64b8014ea6,-7,-0.63698886,2017-07-07 14:19:18,1.0,9,16
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-13,-0.74046142,2017-01-30 12:57:01,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-11,-0.73789189,2017-03-03 18:40:56,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,690,M_ID_2cb69dc875,-1,-0.73790691,2018-01-05 18:09:39,1.0,9,1
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-12,-0.72436803,2017-02-08 15:23:36,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,130,M_ID_6746ac15d1,-2,-0.371245,2017-12-21 13:16:51,1.0,9,41
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-8,-0.64881473,2017-06-21 20:03:18,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-5,-0.7427755,2017-09-15 09:48:48,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-4,-0.72436803,2017-10-06 09:54:48,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,793,M_ID_70d1655221,-6,-0.67488572,2017-08-25 12:52:49,1.0,9,38
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-6,-0.70103185,2017-08-27 22:45:21,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_d8e0d42e4b,-3,-0.73150562,2017-11-27 09:46:46,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-11,-0.71993521,2017-03-14 00:29:46,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-2,-0.68502862,2017-12-22 15:34:31,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-3,-0.73913909,2017-11-29 22:16:37,1.0,9,33
N,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-7,-0.7397702,2017-07-13 15:20:14,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-11,-0.736254,2017-03-31 21:23:50,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,842,M_ID_d852d26298,-12,-0.73638924,2017-02-16 18:03:23,1.0,9,37
Y,C_ID_4dcdeb27e4,314,N,0,A,80,M_ID_deab019f0c,-9,-0.74089719,2017-05-21 13:22:00,1.0,9,37
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-3,-0.73488659,2017-11-09 18:02:23,1.0,9,7
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-9,-0.70534446,2017-05-20 20:05:56,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,528,M_ID_1f3cfc1d1c,-8,-0.66576463,2017-06-15 19:06:40,1.0,9,25
Y,C_ID_4dcdeb27e4,19,N,0,A,80,M_ID_98b342c0e3,-2,-0.74239984,2017-12-14 19:09:51,1.0,9,37
Y,C_ID_4dcdeb27e4,314,N,0,A,683,M_ID_7c5e93af2f,-11,-0.73638924,2017-03-02 15:22:23,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,884,M_ID_f57c55da2a,-9,-0.55761883,2017-05-19 16:07:32,1.0,9,27
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-11,-0.73518712,2017-03-09 09:52:32,1.0,9,34
Y,C_ID_4dcdeb27e4,1,N,0,A,884,M_ID_ea7f4d898b,-8,-0.6719255,2017-06-08 14:33:51,1.0,12,27
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_fdda21e818,-1,-0.70934152,2018-01-25 09:56:23,1.0,9,33
Y,C_ID_4dcdeb27e4,69,N,0,A,879,M_ID_00a6ca8a8a,-3,-0.74038629,2017-11-20 09:53:08,1.0,9,29
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-2,-0.73986036,2017-12-30 14:07:48,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-10,-0.73595347,2017-04-17 15:04:52,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,68,M_ID_ad49138777,-8,-0.69897322,2017-06-17 09:16:07,1.0,9,27
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-10,-0.74089719,2017-04-25 15:17:16,1.0,9,7
N,C_ID_4dcdeb27e4,314,N,0,A,842,M_ID_d852d26298,-12,-0.73638924,2017-02-16 18:01:56,1.0,9,37
Y,C_ID_4dcdeb27e4,314,N,0,A,422,M_ID_ecc88e2241,-9,-0.52152514,2017-05-19 16:17:48,1.0,9,27
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-6,-0.7427755,2017-08-23 12:01:50,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-10,-0.74089719,2017-04-18 06:36:55,1.0,9,34
Y,C_ID_4dcdeb27e4,147,N,0,A,278,M_ID_16b4e56aec,-4,-0.63864178,2017-10-14 00:00:00,3.0,19,37
Y,C_ID_4dcdeb27e4,314,N,0,A,419,,-3,-0.73714056,2017-11-23 00:00:00,1.0,9,1
Y,C_ID_4dcdeb27e4,314,N,0,A,80,M_ID_f6a0f8743f,-7,-0.73263261,2017-07-10 21:16:16,1.0,9,37
Y,C_ID_4dcdeb27e4,137,N,0,A,683,M_ID_104dd1a124,-4,-0.59664268,2017-10-14 03:00:00,3.0,19,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-3,-0.70934152,2017-11-08 14:41:31,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-3,-0.73762141,2017-11-24 00:00:00,1.0,9,33
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-10,-0.7427755,2017-04-25 13:44:17,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,683,M_ID_7c5e93af2f,-5,-0.73939454,2017-09-28 19:19:37,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,80,M_ID_fa5384fe85,-4,-0.73714056,2017-10-28 14:02:15,1.0,9,37
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-13,-0.73566796,2017-01-25 12:39:45,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-9,-0.71847763,2017-05-30 11:52:50,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_fdda21e818,-1,-0.71419508,2018-01-07 16:30:32,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_8f0ce4e0f8,-4,-0.58388517,2017-10-20 00:00:00,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-9,-0.7330834,2017-05-22 06:55:03,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-12,-0.73940957,2017-02-17 19:26:56,1.0,9,33
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-7,-0.74164852,2017-07-11 15:28:07,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,840,M_ID_a0bec1c066,-8,-0.40771434,2017-06-22 09:25:02,1.0,9,20
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-6,-0.74390249,2017-08-21 06:48:44,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-6,-0.73338393,2017-08-17 15:15:02,1.0,9,7
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-6,-0.73614881,2017-08-12 15:44:35,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,884,M_ID_5e1bcde78f,-6,-0.6659149,2017-08-08 18:12:00,1.0,9,27
Y,C_ID_4dcdeb27e4,19,N,0,A,793,M_ID_70d1655221,-9,-0.65865709,2017-05-25 10:01:11,1.0,9,38
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-10,-0.74286566,2017-04-24 13:03:44,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-11,-0.72436803,2017-03-20 15:50:34,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-3,-0.74031116,2017-11-08 15:08:44,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-3,-0.72436803,2017-11-08 14:36:14,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-9,-0.73986036,2017-05-31 13:03:36,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,367,M_ID_33228621ad,-6,-0.7395448,2017-08-25 12:29:33,1.0,9,16
Y,C_ID_4dcdeb27e4,314,N,0,A,683,M_ID_7c5e93af2f,-8,-0.73939454,2017-06-01 13:19:22,1.0,9,34
Y,C_ID_4dcdeb27e4,147,N,0,A,560,M_ID_bb747a2293,-4,-0.71440545,2017-10-12 23:35:32,3.0,19,34
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-6,-0.74270037,2017-08-24 14:02:42,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-4,-0.74164852,2017-10-06 09:53:45,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-5,-0.72025076,2017-09-13 23:06:00,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-13,-0.72436803,2017-01-02 12:50:56,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-10,-0.74265529,2017-04-22 15:55:34,1.0,9,33
Y,C_ID_4dcdeb27e4,87,N,0,A,417,M_ID_75971ae1ca,-4,-0.67928849,2017-10-13 13:42:57,3.0,11,27
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-11,-0.73067916,2017-03-10 09:55:17,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,80,M_ID_156b228b7f,-5,-0.71685477,2017-09-05 18:52:41,1.0,9,37
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-12,-0.74089719,2017-02-24 06:41:11,1.0,9,34
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-6,-0.74164852,2017-08-17 15:21:09,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-6,-0.73488659,2017-08-24 15:19:48,1.0,9,7
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-13,-0.74089719,2017-01-26 15:15:41,1.0,9,7
Y,C_ID_4dcdeb27e4,69,N,0,A,511,M_ID_00a6ca8a8a,-13,-0.72812466,2017-01-22 16:17:38,1.0,9,7
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-11,-0.70606574,2017-03-12 21:28:16,1.0,9,33
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-5,-0.74052153,2017-09-28 19:26:11,1.0,9,34
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-3,-0.7395448,2017-11-09 16:09:44,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-10,-0.74092724,2017-04-26 12:51:12,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-6,-0.694315,2017-08-23 12:42:24,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-3,-0.74316619,2017-11-30 00:00:00,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-4,-0.73596849,2017-10-25 14:49:04,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-6,-0.7206114,2017-08-28 06:57:15,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-5,-0.74303096,2017-09-27 18:52:13,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-2,-0.72241458,2017-12-03 11:18:38,1.0,9,33
Y,C_ID_4dcdeb27e4,279,N,0,A,80,M_ID_b1bd67a5ab,-7,-0.73488659,2017-07-11 17:48:14,1.0,9,37
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-2,-0.72635153,2017-12-30 10:24:26,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-9,-0.68680175,2017-05-31 15:29:07,1.0,9,33
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-7,-0.7397702,2017-07-13 15:22:40,1.0,9,34
Y,C_ID_4dcdeb27e4,69,N,0,A,879,M_ID_00a6ca8a8a,-7,-0.67177524,2017-07-23 10:07:27,1.0,9,29
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-10,-0.73774162,2017-04-19 20:09:15,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,419,,-3,-0.73563791,2017-11-21 00:00:00,1.0,9,1
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-12,-0.72517946,2017-02-15 20:07:27,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,528,M_ID_469bb722cb,-2,-0.6883044,2017-12-02 20:46:53,1.0,9,25
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-6,-0.74421805,2017-08-26 12:21:58,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-4,-0.73939454,2017-10-31 18:37:51,1.0,9,7
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-9,-0.70943167,2017-05-22 20:07:54,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,0,-0.73790691,2018-02-21 09:36:32,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-6,-0.7427755,2017-08-25 07:01:31,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,454,M_ID_26e3278f88,-7,-0.73789189,2017-07-10 14:43:58,1.0,9,39
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-3,-0.74089719,2017-11-09 18:11:06,1.0,9,7
N,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-2,-0.72436803,2017-12-13 15:15:53,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-9,-0.73680998,2017-05-22 12:46:27,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,419,M_ID_327e5d9c12,-6,-0.70633621,2017-08-25 13:00:29,1.0,9,1
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-6,-0.74239984,2017-08-21 15:29:05,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-6,-0.74089719,2017-08-31 15:06:01,1.0,9,7
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-3,-0.6863209,2017-11-29 21:44:00,1.0,9,33
Y,C_ID_4dcdeb27e4,69,N,0,A,879,M_ID_00a6ca8a8a,-3,-0.74089719,2017-11-21 16:59:42,1.0,9,29
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-3,-0.74239984,2017-11-08 14:35:14,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-4,-0.73278287,2017-10-25 08:41:20,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-6,-0.73503685,2017-08-26 15:06:43,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_8098130e29,-10,-0.72504422,2017-04-21 19:51:45,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-4,-0.73436066,2017-10-24 08:46:41,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-11,-0.7397702,2017-03-24 09:47:04,1.0,9,34
